d1,d2,d3,x,y,z,value,label
101,42,29,6.97435909509659,-7.78779011964798,-2.37500005960464,6.181,right Granule Cell Level of the Cerebellum
21,38,40,-6.15384644269943,-8.4436040520668,-0.573275938630104,6.057,left Molecular Layer of the Cerebellum_left
73,62,71,2.37948715686798,-4.50872045755386,4.50431022047997,5.866,right Retosplenial Dysgranular Cortex
68,100,73,1.55897431075573,1.72151190042496,4.83189642429352,5.665,right Secondary Motor Cortex
27,88,34,-5.16923102736473,-0.245929896831512,-1.55603455007076,5.287,left Entorhinal Cortex_left
56,35,54,-0.410256519913673,-8.93546450138092,1.71982748806477,5.239,left Molecular Layer of the Cerebellum_left
40,51,31,-3.03589762747288,-6.31220877170563,-2.04741385579109,5.035,left Middle Cerebellar Peduncle_left 
102,74,32,7.13846166431904,-2.54127866029739,-1.88362075388432,4.97,right Lateral Entorhinal Cortex
66,133,63,1.23076917231083,7.13197684288025,3.19396540522575,4.937,right Secondary Motor Cortex
26,111,48,-5.33333359658718,3.52500021457672,0.737068876624107,4.137,left Dysgranular Insular Cortex_left
33,52,59,-4.18461561203003,-6.14825528860092,2.53879299759865,4.019,left Retosplenial Dysgranular Cortex_left
95,57,52,5.98974367976189,-5.32848787307739,1.39224128425121,3.999,right Lateral Entorhinal Cortex
89,116,46,5.00512826442719,4.34476763010025,0.409482672810555,3.752,right Dysgranular Insular Cortex
48,151,69,-1.72307707369328,10.083139538765,4.17672401666641,3.492,left Olfactory Bulb_left
79,85,52,3.36410257220268,-0.73779034614563,1.39224128425121,3.392,right Thalamus 
39,83,55,-3.20000019669533,-1.06569731235504,1.88362058997154,3.245,left Thalamus_left 
74,72,27,2.54358972609043,-2.86918562650681,-2.7025862634182,3.138,right Dentate Gyrus
79,32,46,3.36410257220268,-9.42732495069504,0.409482672810555,2.977,right Granule Cell Level of the Cerebellum
79,135,53,3.36410257220268,7.45988380908966,1.55603438615799,-7.444,right Dorso Lateral Orbital Cortex
73,33,70,2.37948715686798,-9.26337146759033,4.34051711857319,-7.302,right Molecular Layer of the Cerebellum
82,82,35,3.85641027987003,-1.22965079545975,-1.39224144816399,-7.096,right Cornu Ammonis 3
29,64,35,-4.84102588891983,-4.18081349134445,-1.39224144816399,-6.609,left Perirhinal Area 36_left
38,132,52,-3.36410276591778,6.96802335977554,1.39224128425121,-6.207,left PreLimbic System_left
60,74,61,0.246153756976128,-2.54127866029739,2.8663792014122,-6.016,left Subiculum_left
47,30,69,-1.88717964291573,-9.75523191690445,4.17672401666641,-5.731,left Molecular Layer of the Cerebellum_left
59,158,54,0.0820511877536774,11.2308139204979,1.71982748806477,-4.813,right Glomerular Layer of the Olfactory Bulb
57,110,59,-0.246153950691223,3.36104673147202,2.53879299759865,-4.722,left Secondary Cingular Cortex_left
60,91,42,0.246153756976128,0.245930552482605,-0.245689734816551,-4.615,right Hypothalamic Region
102,103,41,7.13846166431904,2.21337234973907,-0.409482836723328,-4.221,right Dysgranular Insular Cortex
97,39,54,6.31794881820679,-8.2796505689621,1.71982748806477,-3.947,right Molecular Layer of the Cerebellum
60,18,47,0.246153756976128,-11.7226737141609,0.573275774717331,-3.525,left Granule Cell Level of the Cerebellum_left
34,102,34,-4.02051304280758,2.04941886663437,-1.55603455007076,-3.053,left Entorhinal Cortex_left
74,97,80,2.54358972609043,1.22965145111084,5.97844813764095,-2.92,right Primary Motor Cortex
99,65,27,6.64615395665169,-4.01686000823975,-2.7025862634182,-2.86,right Amygdalohyppocampic Area
48,96,80,-1.72307707369328,1.06569796800613,5.97844813764095,-2.833,left Primary Motor Cortex_left
83,105,25,4.02051284909248,2.54127931594849,-3.03017246723175,-2.632,right Entorhinal Cortex
